case,method,seed,evaluation,best_value
ga_blx_seed1,ga,1,37,0.0167409400828386
ga_blx_seed1,ga,1,38,0.0167409400828386
ga_blx_seed1,ga,1,39,0.016735387973835343
ga_blx_seed1,ga,1,40,0.016735387973835343
ga_blx_seed1,ga,1,41,0.016735387973835343
ga_blx_seed1,ga,1,42,0.016735387973835343
ga_blx_seed1,ga,1,43,0.016735387973835343
ga_blx_seed1,ga,1,44,0.016735387973835343
ga_blx_seed1,ga,1,45,0.016735387973835343
ga_blx_seed1,ga,1,46,0.01673245071832172
ga_blx_seed1,ga,1,47,0.01673245071832172
ga_blx_seed1,ga,1,48,0.01673245071832172
ga_blx_seed1,ga,1,49,0.01673245071832172
ga_blx_seed1,ga,1,50,0.01673245071832172
ga_blx_seed1,ga,1,51,0.01673245071832172
ga_blx_seed1,ga,1,52,0.01673245071832172
ga_blx_seed1,ga,1,53,0.01673245071832172
ga_blx_seed1,ga,1,54,0.01673245071832172
ga_blx_seed1,ga,1,55,0.01673245071832172
ga_blx_seed1,ga,1,56,0.01673245071832172
ga_blx_seed1,ga,1,57,0.01673245071832172
ga_blx_seed1,ga,1,58,0.01673245071832172
ga_blx_seed1,ga,1,59,0.01673245071832172
ga_blx_seed1,ga,1,60,0.01673245071832172
ga_blx_seed1,ga,1,61,0.01673245071832172
ga_blx_seed1,ga,1,62,0.01673245071832172
ga_blx_seed1,ga,1,63,0.01673245071832172
ga_blx_seed1,ga,1,64,0.01673245071832172
ga_blx_seed1,ga,1,65,0.0167320806423415
ga_blx_seed1,ga,1,66,0.0167320806423415
ga_blx_seed1,ga,1,67,0.0167320806423415
ga_blx_seed1,ga,1,68,0.0167320806423415
ga_blx_seed1,ga,1,69,0.0167320806423415
ga_blx_seed1,ga,1,70,0.0167320806423415
ga_blx_seed1,ga,1,71,0.0167320806423415
ga_blx_seed1,ga,1,72,0.0167320806423415
ga_blx_seed1,ga,1,73,0.0167320806423415
ga_blx_seed1,ga,1,74,0.0167320806423415
ga_blx_seed1,ga,1,75,0.0167320806423415
ga_blx_seed1,ga,1,76,0.0167320806423415
ga_blx_seed1,ga,1,77,0.016731909530845492
ga_blx_seed1,ga,1,78,0.016731909530845492
ga_blx_seed1,ga,1,79,0.016731909530845492
ga_blx_seed1,ga,1,80,0.016731909530845492
ga_blx_seed1,ga,1,81,0.016731909530845492
ga_blx_seed1,ga,1,82,0.016731909530845492
ga_blx_seed1,ga,1,83,0.016731909530845492
ga_blx_seed1,ga,1,84,0.016731909530845492
ga_blx_seed1,ga,1,85,0.016731909530845492
ga_blx_seed1,ga,1,86,0.016731909530845492
ga_blx_seed1,ga,1,87,0.016731909530845492
ga_blx_seed1,ga,1,88,0.016731909530845492
ga_blx_seed1,ga,1,89,0.016731909530845492
ga_blx_seed1,ga,1,90,0.016731909530845492
ga_blx_seed1,ga,1,91,0.016731909530845492
ga_blx_seed1,ga,1,92,0.016731909530845492
ga_blx_seed1,ga,1,93,0.016731909530845492
ga_blx_seed1,ga,1,94,0.016731909530845492
ga_blx_seed1,ga,1,95,0.016731909530845492
ga_blx_seed1,ga,1,96,0.016731909530845492
ga_blx_seed1,ga,1,97,0.016731909530845492
ga_blx_seed1,ga,1,98,0.016731909530845492
ga_blx_seed1,ga,1,99,0.016731909530845492
ga_blx_seed1,ga,1,100,0.016731909530845492
ga_blx_seed1,ga,1,101,0.016731909530845492
ga_blx_seed1,ga,1,102,0.016731909530845492
ga_blx_seed1,ga,1,103,0.016731909530845492
ga_blx_seed1,ga,1,104,0.016731909530845492
ga_blx_seed1,ga,1,105,0.016731909530845492
ga_blx_seed1,ga,1,106,0.016731909530845492
ga_blx_seed1,ga,1,107,0.016731909530845492
ga_blx_seed1,ga,1,108,0.016731909530845492
ga_blx_seed1,ga,1,109,0.016731909530845492
ga_blx_seed1,ga,1,110,0.016731909530845492
ga_blx_seed1,ga,1,111,0.016731909530845492
ga_blx_seed1,ga,1,112,0.016731909530845492
ga_blx_seed1,ga,1,113,0.016731909530845492
ga_blx_seed1,ga,1,114,0.016731909530845492
ga_blx_seed1,ga,1,115,0.016731909530845492
ga_blx_seed1,ga,1,116,0.016731909530845492
ga_blx_seed1,ga,1,117,0.016731909530845492
ga_blx_seed1,ga,1,118,0.016731909530845492
ga_blx_seed1,ga,1,119,0.016731909530845492
ga_blx_seed1,ga,1,120,0.016731909530845492
ga_blx_seed1,ga,1,121,0.016731909530845492
ga_blx_seed1,ga,1,122,0.016731909530845492
ga_blx_seed1,ga,1,123,0.016731909530845492
ga_blx_seed1,ga,1,124,0.016731909530845492
ga_blx_seed1,ga,1,125,0.016731909530845492
ga_blx_seed1,ga,1,126,0.016731909530845492
ga_blx_seed1,ga,1,127,0.016731909530845492
ga_blx_seed1,ga,1,128,0.016731909530845492
ga_blx_seed1,ga,1,129,0.016731909530845492
ga_blx_seed1,ga,1,130,0.016731909530845492
ga_blx_seed1,ga,1,131,0.016731909530845492
ga_blx_seed1,ga,1,132,0.016731909530845492
ga_blx_seed1,ga,1,133,0.016731909530845492
ga_blx_seed1,ga,1,134,0.016731909530845492
ga_blx_seed1,ga,1,135,0.016731909530845492
ga_blx_seed1,ga,1,136,0.016731909530845492
ga_blx_seed1,ga,1,137,0.016731909530845492
ga_blx_seed1,ga,1,138,0.016731909530845492
ga_blx_seed1,ga,1,139,0.016731909530845492
ga_blx_seed1,ga,1,140,0.016731909530845492
ga_blx_seed1,ga,1,141,0.016731909530845492
ga_blx_seed1,ga,1,142,0.016731909530845492
ga_blx_seed1,ga,1,143,0.016731909530845492
ga_blx_seed1,ga,1,144,0.016731909530845492
ga_blx_seed1,ga,1,145,0.016731909530845492
ga_blx_seed1,ga,1,146,0.016731909530845492
ga_blx_seed1,ga,1,147,0.016731909530845492
ga_blx_seed1,ga,1,148,0.016731909530845492
ga_blx_seed1,ga,1,149,0.016731909530845492
ga_blx_seed1,ga,1,150,0.016731909530845492
ga_blx_seed1,ga,1,151,0.016731909530845492
ga_blx_seed1,ga,1,152,0.016731909530845492
ga_blx_seed1,ga,1,153,0.016731909530845492
ga_blx_seed1,ga,1,154,0.016731909530845492
ga_blx_seed1,ga,1,155,0.016731909530845492
ga_blx_seed1,ga,1,156,0.016731909530845492
ga_blx_seed1,ga,1,157,0.016731909530845492
ga_blx_seed1,ga,1,158,0.016731909530845492
ga_blx_seed1,ga,1,159,0.016731909530845492
ga_blx_seed1,ga,1,160,0.016731909530845492
ga_blx_seed1,ga,1,161,0.016731909530845492
ga_blx_seed1,ga,1,162,0.016731909530845492
ga_blx_seed1,ga,1,163,0.016731909530845492
ga_blx_seed1,ga,1,164,0.016731909530845492
ga_blx_seed1,ga,1,165,0.016731909530845492
ga_blx_seed1,ga,1,166,0.016731909530845492
ga_blx_seed1,ga,1,167,0.016731909530845492
ga_blx_seed1,ga,1,168,0.016731909530845492
ga_blx_seed1,ga,1,169,0.016731909530845492
ga_blx_seed1,ga,1,170,0.016731909530845492
ga_blx_seed1,ga,1,171,0.016731909530845492
ga_blx_seed1,ga,1,172,0.016731909530845492
ga_blx_seed1,ga,1,173,0.016731909530845492
ga_blx_seed1,ga,1,174,0.016731909530845492
ga_blx_seed1,ga,1,175,0.016731909530845492
ga_blx_seed1,ga,1,176,0.016731909530845492
ga_blx_seed1,ga,1,177,0.016731909530845492
ga_blx_seed1,ga,1,178,0.016731909530845492
ga_blx_seed1,ga,1,179,0.016731909530845492
ga_blx_seed1,ga,1,180,0.016731909530845492
ga_blx_seed1,ga,1,181,0.016731909530845492
ga_blx_seed1,ga,1,182,0.016731909530845492
ga_blx_seed1,ga,1,183,0.016731909530845492
ga_blx_seed1,ga,1,184,0.016731909530845492
ga_blx_seed1,ga,1,185,0.016731909530845492
ga_blx_seed1,ga,1,186,0.016731909530845492
ga_blx_seed1,ga,1,187,0.016731909530845492
ga_blx_seed1,ga,1,188,0.016731909530845492
ga_blx_seed1,ga,1,189,0.016731909530845492
ga_blx_seed1,ga,1,190,0.016731909530845492
ga_blx_seed1,ga,1,191,0.016731909530845492
ga_blx_seed1,ga,1,192,0.016731909530845492
ga_blx_seed1,ga,1,193,0.016731909530845492
ga_blx_seed1,ga,1,194,0.016731909530845492
ga_blx_seed1,ga,1,195,0.016731909530845492
ga_blx_seed1,ga,1,196,0.016731909530845492
ga_blx_seed1,ga,1,197,0.016731909530845492
ga_blx_seed1,ga,1,198,0.016731909530845492
ga_blx_seed1,ga,1,199,0.016731909530845492
ga_blx_seed1,ga,1,200,0.016731909530845492
ga_blx_seed2,ga,2,1,9499.291436730055
ga_blx_seed2,ga,2,2,5208.29388603086
ga_blx_seed2,ga,2,3,5208.29388603086
ga_blx_seed2,ga,2,4,0.018201216657368926
ga_blx_seed2,ga,2,5,0.018201216657368926
ga_blx_seed2,ga,2,6,0.018201216657368926
ga_blx_seed2,ga,2,7,0.018201216657368926
ga_blx_seed2,ga,2,8,0.018201216657368926
ga_blx_seed2,ga,2,9,0.018201216657368926
ga_blx_seed2,ga,2,10,0.018201216657368926
ga_blx_seed2,ga,2,11,0.016735945379076803
ga_blx_seed2,ga,2,12,0.016735945379076803
ga_blx_seed2,ga,2,13,0.016732160337680022
ga_blx_seed2,ga,2,14,0.016732160337680022
ga_blx_seed2,ga,2,15,0.016732160337680022
ga_blx_seed2,ga,2,16,0.016732160337680022
ga_blx_seed2,ga,2,17,0.016732160337680022
ga_blx_seed2,ga,2,18,0.016732160337680022
ga_blx_seed2,ga,2,19,0.016732160337680022
ga_blx_seed2,ga,2,20,0.016732160337680022
ga_blx_seed2,ga,2,21,0.016732160337680022
ga_blx_seed2,ga,2,22,0.016732160337680022
ga_blx_seed2,ga,2,23,0.0167319170922552
ga_blx_seed2,ga,2,24,0.0167319170922552
ga_blx_seed2,ga,2,25,0.0167319170922552
ga_blx_seed2,ga,2,26,0.0167319170922552
ga_blx_seed2,ga,2,27,0.0167319170922552
ga_blx_seed2,ga,2,28,0.0167319170922552
ga_blx_seed2,ga,2,29,0.0167319170922552
ga_blx_seed2,ga,2,30,0.0167319170922552
ga_blx_seed2,ga,2,31,0.0167319170922552
ga_blx_seed2,ga,2,32,0.0167319170922552
ga_blx_seed2,ga,2,33,0.0167319170922552
ga_blx_seed2,ga,2,34,0.0167319170922552
ga_blx_seed2,ga,2,35,0.0167319170922552
ga_blx_seed2,ga,2,36,0.0167319170922552
ga_blx_seed2,ga,2,37,0.0167319170922552
ga_blx_seed2,ga,2,38,0.0167319170922552
ga_blx_seed2,ga,2,39,0.0167319170922552
ga_blx_seed2,ga,2,40,0.0167319170922552
ga_blx_seed2,ga,2,41,0.0167319170922552
ga_blx_seed2,ga,2,42,0.0167319170922552
ga_blx_seed2,ga,2,43,0.0167319170922552
ga_blx_seed2,ga,2,44,0.0167319170922552
ga_blx_seed2,ga,2,45,0.0167319170922552
ga_blx_seed2,ga,2,46,0.0167319170922552
ga_blx_seed2,ga,2,47,0.0167319170922552
ga_blx_seed2,ga,2,48,0.0167319170922552
ga_blx_seed2,ga,2,49,0.0167319170922552
ga_blx_seed2,ga,2,50,0.0167319170922552
ga_blx_seed2,ga,2,51,0.0167319170922552
ga_blx_seed2,ga,2,52,0.0167319170922552
ga_blx_seed2,ga,2,53,0.0167319170922552
ga_blx_seed2,ga,2,54,0.0167319170922552
ga_blx_seed2,ga,2,55,0.0167319170922552
ga_blx_seed2,ga,2,56,0.0167319170922552
ga_blx_seed2,ga,2,57,0.0167319170922552
ga_blx_seed2,ga,2,58,0.0167319170922552
ga_blx_seed2,ga,2,59,0.0167319170922552
ga_blx_seed2,ga,2,60,0.0167319170922552
ga_blx_seed2,ga,2,61,0.0167319170922552
ga_blx_seed2,ga,2,62,0.0167319170922552
ga_blx_seed2,ga,2,63,0.0167319170922552
ga_blx_seed2,ga,2,64,0.0167319170922552
ga_blx_seed2,ga,2,65,0.0167319170922552
ga_blx_seed2,ga,2,66,0.0167319170922552
ga_blx_seed2,ga,2,67,0.0167319170922552
ga_blx_seed2,ga,2,68,0.0167319170922552
ga_blx_seed2,ga,2,69,0.0167319170922552
ga_blx_seed2,ga,2,70,0.0167319170922552
ga_blx_seed2,ga,2,71,0.0167319170922552
ga_blx_seed2,ga,2,72,0.016731912427890995
ga_blx_seed2,ga,2,73,0.016731912427890995
ga_blx_seed2,ga,2,74,0.016731912427890995
ga_blx_seed2,ga,2,75,0.016731912427890995
ga_blx_seed2,ga,2,76,0.016731912427890995
ga_blx_seed2,ga,2,77,0.016731912427890995
ga_blx_seed2,ga,2,78,0.016731912427890995
ga_blx_seed2,ga,2,79,0.016731912427890995
ga_blx_seed2,ga,2,80,0.016731912427890995
ga_blx_seed2,ga,2,81,0.016731912427890995
ga_blx_seed2,ga,2,82,0.016731912427890995
ga_blx_seed2,ga,2,83,0.016731912427890995
ga_blx_seed2,ga,2,84,0.016731912427890995
ga_blx_seed2,ga,2,85,0.016731912427890995
ga_blx_seed2,ga,2,86,0.016731912427890995
ga_blx_seed2,ga,2,87,0.016731912427890995
ga_blx_seed2,ga,2,88,0.016731912427890995
